Hour,Date/hour start,Solar electricity generation (kWh),Electricity usage (kWh),ELECTRICITY NEEDED,EXCESS SOLAR,BATTERY LEVELS,ELECTRICITY PROVIDE BY BAT,ELECTRICT BILL LESS BAT
1,10 01 2020 01:00,0.0000000 ,0.4479552 ,0.4479552 ,0,0,0.0000000 ,0.4479552 
2,10 01 2020 02:00,0.0000000 ,0.2979702 ,0.2979702 ,0,0,0.0000000 ,0.2979702 
3,10 01 2020 03:00,0.0000000 ,0.2040000 ,0.2040000 ,0,0,0.0000000 ,0.2040000 
4,10 01 2020 04:00,0.0000000 ,0.1770000 ,0.1770000 ,0,0,0.0000000 ,0.1770000 
5,10 01 2020 05:00,0.0090000 ,0.2100000 ,0.2010000 ,0,0,0.0000000 ,0.2010000 
6,10 01 2020 06:00,0.0060000 ,0.3240000 ,0.3180000 ,0,0,0.0000000 ,0.3180000 
7,10 01 2020 07:00,0.0120000 ,0.8370000 ,0.8250000 ,0,0,0.0000000 ,0.8250000 
8,10 01 2020 08:00,0.0090000 ,2.2020000 ,2.1930000 ,0,0,0.0000000 ,2.1930000 
9,10 01 2020 09:00,0.0120000 ,0.8580000 ,0.8460000 ,0,0,0.0000000 ,0.8460000 
10,10 01 2020 10:00,0.1650000 ,1.5720000 ,1.4070000 ,0,0,0.0000000 ,1.4070000 
11,10 01 2020 11:00,0.3840000 ,1.0380000 ,0.6540000 ,0,0,0.0000000 ,0.6540000 
12,10 01 2020 12:00,0.4980000 ,0.4950000 ,0.0000000 ,0.003,0.003,0.0000000 ,0.0000000 
13,10 01 2020 13:00,0.4740000 ,0.5550000 ,0.0810000 ,0,0,0.0030000 ,0.0780000 
14,10 01 2020 14:00,0.3960000 ,0.5280000 ,0.1320000 ,0,0,0.0000000 ,0.1320000 
15,10 01 2020 15:00,0.2700000 ,2.7720000 ,2.5020000 ,0,0,0.0000000 ,2.5020000 
16,10 01 2020 16:00,0.0450000 ,2.1660000 ,2.1210000 ,0,0,0.0000000 ,2.1210000 
17,10 01 2020 17:00,0.0090000 ,0.4590000 ,0.4500000 ,0,0,0.0000000 ,0.4500000 
18,10 01 2020 18:00,0.0120000 ,13.7280000 ,13.7160000 ,0,0,0.0000000 ,13.7160000 
19,10 01 2020 19:00,0.0150000 ,3.5904000 ,3.5754000 ,0,0,0.0000000 ,3.5754000 
20,10 01 2020 20:00,0.0060000 ,6.6726000 ,6.6666000 ,0,0,0.0000000 ,6.6666000 
21,10 01 2020 21:00,0.0150000 ,2.7480000 ,2.7330000 ,0,0,0.0000000 ,2.7330000 
